 ”,w
 表明,v
 和,c
 话剧院,n]nt
 基地,n
 小学,n]nt
 学校,n]nt
 样本,n
 整体,n
[中,j
[中办,j
[中保,j
[中策,nz
[中唱,j
[中东,ns
[中非,ns
[中非共和国,ns
[中服,nz
[中港,nz
[中共,j
[中共中央,nt
[中国,ns
[中国银行,nt
[中航,j
[中华,nz
[中华人民共和国,ns
[中化,nz
[中汇,nz
[中纪委,j
[中建协,j
[中江县,ns
[中科院,j
[中联,nz
[中煤,j
[中美洲,ns
[中南,ns
[中南海,ns
[中汽,j
[中桥,nz
[中散,j
[中条山,ns
[中外代,j
[中新,nz
[中信,j
[中兴,nz
[中亚,ns
[中研,nz
[中演,nz
[中央,n,f
[中央军委,nt
[中医药,n
[中银,nz
[中原,ns
[中原区,s
[中远,nz
[中直,j
[中直机关,j
[中质协,j
[中州,nz
[钟山,ns
[重,j
[重庆,ns
[重庆市,ns
[周,nr
[周村区,ns
[珠海,ns
[珠江,ns,nz
[株,j
[住宅,nz
[庄河,ns
[资产,n
[淄博市,ns
[紫禁城,nz
[总参,j
[总后,j
[总后勤部,n
[总政,j
[最高,a
[遵义,ns
[左海,ns
[左家庄,ns
[左翼,n
[偃师市,ns
[衮州,ns
[鄢家河村,ns
[芙蓉,ns
[崂山区,ns
[嵊州市,ns
[泮溪,nz
[涿州市,ns
[渥太华,ns
[瀛海威,nz
[珀金斯,nz
[珀斯,ns
[琦玉县,ns
[甬江,ns
[艮秋艮新,nz
冮,nr
劼人,nr
勍,nr
喆,nr
揳入,v
玒,nr
珣章,nr
珮云,nr
珺,nr
珺珹,nr
琤,nr
啊,y,e
啊啊,e
阿,j
阿·努里,nr
阿巴查,nr
阿巴基,nz
阿北乡,ns
阿比让,ns
阿比让市,ns
阿比斯,nz
阿比托,ns
阿炳,nr
阿波德,nz
阿波罗,nr,nz
阿卜杜拉,nr
阿卜杜拉季波夫,nr
阿卜杜勒拉蒂夫·菲拉利,nr
阿不都卡德尔·乃斯尔丁,nr
阿不都热依木·阿吉依明,nr
阿不都热依木·卡德尔,nr
阿不来提,nr
阿不来提·阿不都热西提,nr
阿不力米提·麻木提,nr
阿布·马赞,nr
阿布哈兹,ns
阿布扎比,ns,nr
阿昌,nr
阿昌族,nz
阿彻,nr
阿称,nr
阿达米,nr
阿达米申,nr
阿达姆库斯,nr
阿代希安,nr
阿德·梅尔克特,nr
阿德尔,nr
阿迪达斯,nz
阿地力,nr
阿朵,nr
阿尔,ns
阿尔巴尼亚,ns
阿尔巴尼亚族,nz
阿尔贝·特沃杰雷,nr
阿尔贝维尔,ns
阿尔博格,nr
阿尔都塞,nr
阿尔法,nz
阿尔法粒子,n
阿尔法镇,ns
阿尔弗雷德·桑特,nr
阿尔及尔,ns
阿尔及利亚,ns
阿尔及利亚民主人民共和国,ns
阿尔姆西克,nr
阿尔穆尼亚,nr
阿尔斯通,nr
阿尔希波夫,nr
阿尔谢耶夫,nz
阿凡提,nr
阿方,n
阿富汗,ns
阿甘,nr
阿哥,n
阿根廷,ns
阿古拉,nr
阿嘉·洛桑图旦,nr
阿嘉·洛桑图旦·久美嘉措,nr
阿嘉·洛桑图旦·久美加措,nr
阿卡蒂耶夫,nr
阿卡汗,nz
阿卡耶夫,nr
阿克莫拉,ns
阿拉伯,ns
阿拉丁·布鲁杰尔迪,nr
阿拉法特,nr
阿拉济,nr
阿拉拉特号,nz
阿拉木图,ns
阿拉善,ns
阿拉塔斯,nr
阿拉坦敖其尔,nr
阿莱科斯·帕帕佐普洛斯,nr
阿兰·布朗特,nr
阿勒锦,nz
阿勒坦格列尔,nr
阿里,ns
阿里安,nz
阿里安—５,nz
阿里安４Ｌ,nz
阿里法拉比,ns
阿联酋,ns
阿良,nr
阿列塔,nr
阿霖,nr
阿伦·布朗,nr
阿伦·布洛克,nr
阿妈,n
阿马丽亚,nr
阿盟,j
阿敏,nr
阿莫科,nz
阿姆斯特丹,ns
阿姆斯特朗,nr
阿木,nr
阿木冬·尼牙孜,nr
阿南德,nr
阿内·卡尔森,nr
阿宁,nr
阿诺德,nr
阿佩尔,nr
阿沛·阿旺晋美,nr
阿片肽,nz
阿平,nr
阿婆,n
阿其克谷地,ns
阿齐兹,nr
阿荣汗阿吉,nr
阿萨德,nr
阿塞拜疆,ns
阿塞拜疆省,ns
阿诗玛,nr
阿什哈巴德,ns
阿式,b
阿塔,nr
阿塔夫,nr
阿塔科拉省,ns
阿通社,nt
阿旺甘丹,nr
阿西·赛德克已,nr
阿西夫·扎尔达里,nr
阿西西城,ns
阿依曼,nr
阿依努儿,nr
阿依吐拉,nr
阿姨,n
阿尤甫·艾山,nr
阿珠,nr
埃,j
埃镑,q,n
埃博拉,n
埃尔巴坎,nr
埃菲社,j
埃夫拉特,ns
埃弗迪卡哈,nr
埃贡·席勒,nr
埃及,ns
埃居,q
埃克哈德,nr
埃克森,nz
埃拉苏里斯,nr
埃雷迪亚,ns
埃雷迪亚市,ns
埃里卡特,nr
埃利奥特·莫尔斯,nr
埃瑞克·孔泽尔,nr
埃塞俄比亚,ns
埃斯波斯托,nr
埃坦,nr
埃特纳,ns
埃文,nr
埃伊阿尔茨,nr
挨,v
挨打,v
挨冻,v
挨饿,v
挨个儿,d
挨家挨户,i
挨门,d
挨着,v
哎,e
哀愁,an
哀悼,vn
哀嚎,v
哀乐,n
哀求,v
哀思,n
哀叹,vn,v
哀怨,a
皑皑,z
癌,n
癌变,n
癌细胞,n
癌症,n
矮,a
矮丰３号,nz
矮秆,b
矮孟牛,nz
矮寨镇,ns
艾,nr
艾博雅,nr
艾迪拜·伊斯哈克娃,nr
艾尔河,ns
艾菲尔铁塔,n
艾哈迈德·阿塔夫,nr
艾哈迈德·本·穆罕默德·萨利姆,nr
艾哈迈德·苏哈·奥马尔,nr
艾哈迈迪亚,ns
艾力肯,nr
艾琳,nr
艾伦,nr
艾赛义德,nr
艾沙哈日·肉孜,nr
艾滋病,n
艾滋病毒,n
碍,v
碍事,a
爱,vn,v,j
爱爱,nr
爱不释手,i
爱厂如家,l
爱戴,v,vn
爱德华·弗朗西斯,nz
爱德华·劳森,nr
爱迪生,nr
爱多,nz
爱多杯,nz
爱恩,nr
爱儿乐,nz
爱尔兰,ns
爱岗敬业,l
爱国,a,nr
爱国会,n]nt
爱国人士,n
爱国同胞,n
爱国心,n
爱国至诚,l
爱国主义,n
爱好,v,n
爱好者,n
爱护,v,vn
爱花,nr
爱华,nr
爱教,a,v
爱军,nr
爱克发１２８０,nz
爱兰,nr
爱乐,nz
爱理不理,l
爱丽丝,nr
爱立信,nz
爱莲,nr
爱怜,v
爱恋,v
爱龙,nr
爱侣,n
爱伦,nr
爱美,a
爱美健,nz
爱美力,nz
爱民,v,nr
爱莫能助,i
爱慕,v
爱牧,nr
爱尼,nz
爱萍,nr
爱平,nr
爱泼斯坦,nr
爱清,nr
爱情,n
爱人,n
爱沙尼亚,ns
爱诗,nr
爱孙,n
爱委会,j
爱心,n
爱因·夏姆斯,nz
爱幼,v
爱憎,n
爱子,n
爱子教子,l
鞍钢,n
鞍马,n
鞍马劳顿,i
鞍山,ns
鞍山市,ns
氨化池,n
氨基酸,n
安,nr,v,Ag,j
安安,nr
安保,j
安斌,nr
安部川澄夫,nr
安次区,ns
安达,nz,ns
安达卢西亚,ns
安大略省,ns
安德雷斯·科尔,nr
安德烈·科科申,nr
安德烈斯,nr
安德烈斯·卡斯特罗,nr
安德鲁·托马斯,nr
安第斯,ns
安定,a,an,v,nr,vn
安定团结,l
安东,nr
安度,v
安顿,v
安多,ns
安多县,ns
安尔乐,nz
安放,v
安分,a
安抚,vn,v
安哥拉,ns
安徽,ns
安徽籍,n
安徽省,ns
安惠,nr
安济,ns
安家,v
安家落户,i
安检门,j
安江,nr
安静,a
安居,vn,v,n
安居而乐教,l
安居工程,l
安居乐教,l
安居乐业,i
安军,nr
安卡拉,ns
安康,a,ns
安乐,nz
安乐窝,n
安理会,j,j]nt
安礼,nr
安曼,ns
安曼市,ns
安盟,j
安民,nr,v
安民告示,i
安某,nr
安南,nr
安尼瓦尔·买买提,nr
安宁,a,nr
安宁市,ns
安排,v,vn
安培,nr
安贫乐道,i
安庆,ns,nr
安丘,ns
安丘市,ns
安全,ad,an,a,nr
安全部,nt]nt,nt
安全带,n
安全感,n
安全局,n]nt
安全壳,n
安全区,n
安全网,n
安全系数,l
安全线,n
安全性,n
安然,z
安然无恙,i
安仁,nr
安上,v
安身之地,n
安生,nr
安石,nr
安顺,ns
安泰,nr
安徒生,nr
安徒生奖,nz]nz
安危,n
安危祸福,i
安慰,v
安稳,a,an,ad
安西,ns
安溪,ns
安溪县,ns
安详,a
安享晚年,l
安心,ad,a
安阳,ns
安阳市,ns
安阳县,ns
安易,nz
安逸,a
安于,v
安于现状,i
安葬,v
安置,v,vn
安置率,n
安装,v,vn
俺,r
俺村,r
俺家,r
俺们,r
按,p,v
按部就班,i
按键,n
按揭,vn
按劳分配,l
按理,d
按理说,l
按摩,vn,v
按摩厅,n
按钮,n
按期,d
按时,d
按说,d
按图索骥,i
按需分配,l
按语,n
按照,p
按住,v
按捺不住,i
暗,a,ad
暗藏,v
暗淡,a
暗地里,d
暗访,v,vn
暗红,z
暗礁,n
暗色,n
暗杀,vn,v
暗算,v
暗锁,n
暗中斗黑,l
暗自,d
岸,n
岸边,s
岸柳,nr
岸区,s
岸上,s
岸涛,nr
案,Ng,q
案发,v
案件,n
案卷,n
案例,n
案情,n
案头,n
案值,n
案子,n
昂,nr,Vg
昂贵,a,an
昂里埃特,nr
昂毛,nr
昂然,z
昂首,v
昂首挺胸,l
昂扬,v,a
昂扬斗志,l
盎格鲁,nz
盎然,z
盎司,q
凹底镇,ns
凹陷,v
敖,nr
敖敖,nr
敖德木勒,nr
敖东队,nt]nt
敖汉旗,ns
敖庆,nr
熬,v
翱翔,vn
傲,a
傲岸,a
傲慢,a,an
傲腾,nr
奥,j
奥贝德,nr
奥贝尔豪森市,nz
奥德伦,nr
奥迪车,n
奥地利,ns
奥尔,nr
奥尔布赖特,nr
奥尔良,nz
奥拉西奥·塞尔帕·乌里韦,nr
奥里诺科,nz
奥林匹克,nz
奥林匹克村,n
奥马,nz
奥马尔·哈桑·艾哈迈德·巴希尔,nr
奥秘,n
奥妙,an,a
奥尼尔,nr
奥山,nr
奥山由美,nr
奥绍,nr
奥斯卡,nz
奥斯陆,ns
奥斯曼帝国,ns
奥斯汀,nr
奥斯威辛,ns
奥田硕,nr
奥委会,j]nt,j
奥新社,j
奥运,j
奥运村,n
奥运会,j,j]nz
懊悔,v
懊恼,v
澳,j
澳大利亚,ns
澳大利亚队,nt
澳分,q
澳联社,nt
澳门,ns
澳元,q
澳众院,j
澳洲,ns
芭芭拉·卡斯蒂约·哥斯达,nr
芭蕾,n
芭蕾舞,n
芭蕾舞剧,n
芭蕾舞团,n,n]nt
芭夏,nr
扒,v
扒开,v
扒窃,v,vn
吧,y
吧嗒,o
八,m
八八八八八,m
八百,m
八百零七,m
八百六十六,m
八百万,m
八百亿,m
八佰伴,nz]nt,nz
八宝山,ns
八达岭,ns
八大,j,j]nz
八点半,t
八点二八,m
八点钟,t
八渡,ns
八方来客,i
八方支援,l,l]l
八家户村,ns
八角,n
八角田,ns
八角亭,n
八九,m
八九点钟,t
八里罕镇,ns
八路军,n
八面玲珑,i
八木,nr
八木佑四郎,nr
八七,m
八旗,n
八千,m
八千八百,m
八千三百六十万,m
八千四百三十万,m
八千万,m
八日,t
八三,m
八十,m
八十七,m
八十三,m
八十四,m
八十万,m
八十五,m
八时,t
八所,ns
八万,m
八五,m
八仙,n
八仙过海,i
八仙过海各显其能,l
八仙过海各显神通,i
八仙桌,n
八旬,m
八一,t
八一队,nt
八亿,m
八月,t
八运,j
八运会,j
八中,j]nt
八字,n
疤痕,n
巴,j,nr
巴布斯,nr
巴布亚新几内亚,ns
巴达维,nr
巴德年,nr
巴尔金巴耶夫,nr
巴尔舍夫斯基,nr
巴尔扎克,nr
巴伐利亚,ns
巴伐利亚州,ns
巴方,n
巴嘎班迪,nr
巴格达,ns
巴哈马,ns
巴赫,nr
巴基斯坦,ns
巴结,v
巴解,j
巴解组织,j
巴金,nr
巴库,ns
巴拉吉尼,nr
巴拉克,nr
巴拉诺夫,nz
巴勒斯坦,ns
巴厘虎,n
巴黎,ns
巴里港,ns
巴林,ns
巴伦西亚,ns
巴伦支海,ns
巴洛克,nz
巴马,ns
巴茅茨,ns
巴拿马,ns
巴人,nr
巴瑞特,nr
巴萨耶夫,nr
巴塞罗那,ns
巴山雨夜,l
巴士,n
巴士杰,nr
巴蜀,ns
巴斯,nr
巴特尔,nr
巴特勒,nr
巴图,nr
巴望,v
巴西,ns
巴西队,nt
巴西利亚,ns
巴西木,n
巴希尔,nr
巴雅,nz
巴音朝鲁,nr
巴音郭楞,nz
巴鱼,n
巴扎,n
巴掌,n
巴中,ns
巴中南江县,ns
巴岱,nr
拔,v
拔除,v
拔地而起,i
拔掉,v
拔秆剥桃棉,n
拔高,v
拔河,vn,v
拔河绳,n
拔尖,a
拔剑,v
拔腿,v
拔秧,v
跋,Ng
跋涉,v,vn
跋文,n
把,p,q,v,Ng,m,l
把把,v
把持,v
把关,v,vn
把酒,v
把酒言欢,l
把脉,v
把守,v
把握,v,vn,n
把握性,n
把戏,n
把下,s
把盏,v
把诊,v
耙,n
坝,n
坝段,n
坝区,n,n]ns
坝上,s
坝体,n
霸,Vg
霸权,n
霸权主义,n
霸王,n
霸王别姬,l
霸占,v
霸主,n
罢,v
罢工,v
罢了,y
罢休,v
爸,n
爸爸,n
白,a,nr,d,v,j,Ng,b
白皑皑,z
白白,d
白班,n
白滨一良,nr
白冰,nr
白菜,n
白菜帮,n
白菜心,n
白绸,n
白搭,v
白地,n
白俄罗斯,ns
白发,n
白发人,n
白发翁,n
白费,v
白粉,n
白粉病,n
白皋,nr
白公馆,ns
白宫,n
白瓜子,n
白关镇,ns
白圭司,nr
白果,n
白果树,n
白虎团,nz
白花花,z
白晋线,nz
白酒,n
白卷,n
白兰地,n
白莲,n
白领,b
白鹿原,ns
白萝卜,n
白玛,nr
白马,n
白毛风,n
白毛女,n
白米,n
白棉,n
白面,n
白沫,n
白内障,n
白嫩,a
白袍,n
白棋,n
白求恩,nr
白热化,v
白人,n
白日,n
白三叶,n
白色,n
白色恐怖,i
白砂糖,n
白沙,ns
白蛇传,n
白石,nr
白石灰,n
白手起家,i
白霜,n
白水镇,ns
白送,v
白塔,ns
白檀,n
白天,t
白天鹅,n
白条,n
白条肉,n
白条鸭,n
白铁,n
白雪,n
白雪皑皑,i
白雪公主,n
白血病,n
白杨,n
白洋淀,ns
白药,n,n]nt
白衣,n
白衣天使,n
白银,n
白银市,ns
白釉,n
白羽,nr
白玉兰,nz
白云,ns,n
白云观,ns
白宰鸡,n
白纸坊,ns
白纸黑字,i
白昼,n
白族,nz
白璧无瑕,i
白皙,z
白鹭,n
白鲑,n
白髯,n
柏,nr,Ng
柏芬,nr
柏林,nr,ns
柏龄,nr
柏年,nr
柏秋,nr
柏施,nz
柏树,n
柏油,n
柏玉,nr
柏枝,n
百,m
百八十,m
百帮,nz
百倍,m
百变通,nz
百发,nr
百废待兴,l
百分,m
百分比,n
百分点,n
百分之八,m
百分之八点八,m
百分之八点零七,m
百分之八点七五,m
百分之八十,m
百分之八十点一四,m
百分之八十四点四五,m
百分之八十五,m
百分之百,i
百分之二点七,m
百分之二十点九,m
百分之二十二,m
百分之二十六点一,m
百分之二十七点七,m
百分之二十三点四,m
百分之二十三点四一,m
百分之几,m
百分之九十,m
百分之九十八,m
百分之九十几,m
百分之九十九点九,m
百分之九十四,m
百分之九十五,m
百分之六十,m
百分之六十八,m
百分之六十六点七,m
百分之六十三点四,m
百分之六十四,m
百分之六十一点八,m
百分之七,m
百分之七十,m
百分之七十五,m
百分之三,m
百分之三点八,m
百分之三十,m
百分之三十点七,m
百分之三十九点三,m
百分之十,m
百分之十八,m
百分之十八点三,m
百分之十二,m
百分之十二点六,m
百分之十几,m
百分之十六,m
百分之十六点八,m
百分之十六点五,m
百分之十七,m
百分之十七点三,m
百分之十三点五,m
百分之十四,m
百分之十五,m
百分之十五点六,m
百分之十一,m
百分之十一点九,m
百分之四点二,m
百分之四十八点三,m
百分之四十点六,m
百分之四十二,m
百分之四十九,m
百分之四十一点五,m
百分之四五十,m
百分之五十,m
百分之五十八点七,m
百分之五十分十五,m
百分之五十一,m
百分之一,m
百分之一百零二点三,m
百分之一百零五,m
百分之一百一十七点六二,m
百分制,n
百富勤,nz
百合,nr
百合花,n
百花,n,nz
百花奖,nz
百花莲,n
百花齐放,i
百花园,n
百花争艳,i
百花洲,ns
百卉吐艳,i
百货,n
百货大楼,n,n]ns
百货店,n
百货公司,n
百货商店,n
百货业,n
百家争鸣,i
百科全书,n
百科全书式,b
百刻图,n
百孔千疮,i
百老汇,ns
百里挑一,i
百六十,m
百慕大,ns
百年,m
百年不遇,i
百年大计,i
百年之后,i
百鸟朝凤,l
百鸟园,n]ns,n
百强县,n
百日,t
百色,ns
百十,m
百事通,n
百兽,n
百思不得其解,i
百态纷呈,l
百团大战,nz
百万,m
百万富翁,n
百文,nr
百闻不如一见,l
百姓,n
百姓家,n
百业兴旺,l
百亿,m
百育乡,ns
百折不挠,i
百舸争流,i
摆,v
摆摆,v
摆布,v
摆地摊,l
摆动,v
摆放,v,vn
摆列,v
摆弄,v
摆平,v
摆起,v
摆勺,ns
摆勺村,ns
摆设,n
摆式列车,n
摆手,v
摆摊,v
摆脱,v
摆正,v
摆制,n
败,v
败北,v
败坏,v
败绩,n
败露,vn
败亡,v
败也萧何,i]i
败走麦城,i
拜,v,nr
拜倒,v
拜尔,nr
拜访,v
拜佛,v
拜会,vn,v
拜金主义,n
拜年,v,vn
拜年法儿,n
拜年会,n
拜年钱,n
拜涅,nr
拜师,v
拜寿,v
拜天地,v
拜占庭,ns
斑白,z
斑斑,z
斑豹一窥,i
斑驳,z
斑驳陆离,i
斑点,n
斑痕,n
斑马,n
斑斓,z
斑鸠,n
班,n,q,n]nt,nr
班长,n
班车,n
班次,n
班达,nz
班机,n
班吉,ns
班级,n
班加苏,nz
班列,n
班轮,n
班师回营,l
班主,n
班主任,n
班子,n
班组,n
班禅,n
搬,v
搬家,vn
搬进,v
搬迁,v,vn
搬运,v
搬走,v
扳,v
扳倒,v
扳道夫,n
扳回,v
般,u
般般,z
颁,Vg
颁布,v,vn
颁发,v
颁奖,vn,v
颁奖会,n
颁行,v
颁证,v
颁证会,n
板,Ng,j
板材,n
板车,n
板凳,n
板房沟,ns
板房沟乡,ns
板胡曲,n
板结,a
板块,n
板栗,n
板桥,ns
板桥村,ns
板滞,a
板子,n
版,n
版本,n
版画,n
版面,n
版权,n
版权局,n]nt
版式,n
版税,n
版图,n
扮,v
扮相,n
扮演,v
扮演者,n
扮作,v
拌,v
拌种,v
伴,v
伴唱,v,vn
伴儿,n
伴侣,n
伴生,v
伴随,v,vn
伴随着,v
伴舞,vn
伴音,n
伴有,v
伴奏,v,vn
半,m
半百,m
半壁江山,i
半边山,n
半部论语,i
半侧,n
半成品,n
半大,b
半岛,n]ns,n
半导体,n
半导体业,n
半点,m
半丁,nr
半儿,m
半封建,b
半价,n
半截,m
半截子,n
半径,n
半决赛,n
半空,s
半梦半醒,l
半年,t
半年前,t
半瓶子晃荡,l
半山腰,n
半晌,m
半身,n
半生,m
半数,m
半数以上,m
半天空,n
半停产,vn,v
半途而废,i
半文盲,n
半信半疑,i
半夜,t
半圆形,n
半月,t
半月刊,n
半殖民地,n
半宙,nz
半自动,d
办,v,j,j]nt
办案,v
办报,vn
办报人,n
办厂,v
办到,v
办法,n
办公,vn,v
办公会,n
办公会议,n
办公楼,n
办公室,n,n]nt
办公厅,n]nt,n
办公桌,n
办教,vn
办刊,v
办理,v,vn
办起,v
办事,v,vn
办事处,n]nt,n
办事员,n
办水,j
办水热,n
办税,v
办学,vn,v
办证,v
绊脚石,n
邦,Ng
邦椿,nr
邦德,nr
邦定,nr
邦国,nr
邦交,n
邦交国,n
邦杰,nr
邦礼,nr
邦尼尔,nr
邦尼奇,nr
邦玉,nr
邦造,nr
邦正,nr
邦柱,nr
帮,v,q
帮办,n
帮帮,v
帮衬,v
帮带,vn,v
帮扶,v
帮工,v
帮教,v
帮困,vn,v
帮忙,v
帮腔,v
帮手,n
帮凶,n
帮助,v,vn
榜,n
榜上无名,i
榜上有名,l
榜首,n
榜样,n
膀子,n
绑,v
绑架,v,vn
绑扎,v
棒,a,Ng
棒曲霉素,n
棒状,n
磅,q
磅秤,n
磅礴,v
蚌埠,ns
蚌埠市,ns
镑,q
傍晚,t
苞,Ng
苞菜,n
苞谷,n
苞谷饭,n
包,v,q,n,nr
包办,v
包庇,v
包庇罪,n
包村,v
包村组,n
包扶,v
包袱,n
包干,v
包工头,n
包裹,n,v
包含,v
包户,v,vn
包机,n
包括,v
包揽,v
包龙图,nr
包罗万象,i
包容,v
包头,ns
包头市,ns
包围,v,vn
包厢,n
包销,v
包衣,v,vn
包衣率,n
包蕴,v
包扎,v
包治百病,l
包装,n,v,vn
包装袋,n
褒贬,v
褒贬不一,i
褒奖,v
剥,v
剥夺,v,vn
剥离,v,vn
剥落,v
剥弃,v
剥蚀,v
剥削,v,vn
剥削阶级,n
剥削者,n
薄,a,nr
薄薄的,z
薄冰,n
薄唇,n
薄壳核桃,n
薄老,nr
薄弱,a
薄弱校,n
薄纱,n
薄雾,n
薄型,b
薄伽丘,nr
保,v,nr
保安,nr,b,n,v
保安局,n
保安族,nz
保博,nr
保成,nz
保持,v,vn
保持者,n
保初,nr
保存,v,vn
保存期,n
保定,ns
保定市,ns
保尔·柯察金,nr
保发,nr
保费,n
保管,v,vn,n
保管费,n
保广,nr
保国,ns,nr
保国村,ns
保国乡,ns
保护,v,vn
保护编,n
保护法,n
保护费,n
保护价,n
保护局,n]nt
保护率,n
保护膜,n
保护区,n
保护伞,n
保护神,n
保护套,n
保护性,b
保护主义,n
保护主义者,n
保户,n
保华,nr
保级,v
保级战,n
保家卫国,l
保加利亚,ns
保健,n,vn,b
保健操,n
保健品,n
保健品厂,n]nt
保健食品,n
保健院,n,n]nt
保浇地,n
保洁,b
保靖,ns
保靖县,ns
保军转民,l
保俊,nr
保龄球,n
保龄球道,n
保留,v,vn
保留剧目,l
保留率,n
保罗·德桑蒂斯,nr
保罗·克鲁格曼,nr
保密,vn,v
保密性,n
保命田,n
保姆,n
保暖,a,an
保暖房,n
保暖棚,n
保坪乡,ns
保平,nr
保庆,nr
保全,v
保山,ns,nr
保善,nr
保深,nr
保释,vn
保收,vn
保守,a,v
保守党,n
保守主义,n
保税,v
保税区,n
保卫,v,vn
保卫处,n,n]nt
保卫科,n
保温,a
保温房,n
保温屋,n
保鲜,vn,v
保鲜剂,n
保险,n,vn,v,a
保险单,n
保险法,n
保险费率,n
保险柜,n
保险号,n
保险金,n
保险局,n]nt,n
保险卡,n
保险业,n
保修,v
保修包换,l
保养,vn,v
保有,v
保有量,n
保佑,v,vn
保育费,n
保育钧,nr
保障,vn,v
保障金,n
保障线,n
保障性,n
保证,v,vn
保证金,n
保证人,n
保值,v,vn
保质期,n
保中,nr
保重,v
保住,v
堡,Ng
堡垒,n
饱,a
饱餐,v
饱尝,v
饱含,v
饱和,vn
饱和点,n
饱经风霜,i
饱览,v
饱满,a
饱食终日,i
饱受,v
宝,nr,n
宝宝,n
宝贝,n
宝藏,n
宝成,nr
宝存,nr
宝刀,n
宝刀不老,i
宝岛,n
宝地,n
宝芳,nr
宝丰,nr
宝丰县,ns
宝钢,n]nt,n
宝贵,a
宝华,nr
宝井,nr
宝军,nr
宝俊,nr
宝康,nr
宝库,n
宝良,nr
宝林,nr
宝林乡,ns
宝马,nz
宝明,nr
宝平,nr
宝群,nr
宝日,nz
宝荣,nr
宝瑞,nr
宝三,nr
宝森,nr
宝珊,nr
宝山,ns,nr
宝山镇,ns
宝善,nr
宝石,n
宝顺,nr
宝塔,n
宝泰,nr
宝田,nr
宝文,nr
宝义,nr
宝音德力格尔,nr
宝印,nr
宝应,ns
宝应拾屯,ns
宝余,nr
宝元队,nt]nt
宝章,nr
宝珍,nr
宝忠,nr
宝珠,n
宝座,n
宝钏,nr
抱,v
抱抱,v
抱佛脚,l
抱负,n
抱歉,a,an
抱拳礼,n
抱养,v
抱有,v
抱怨,vn,v
报,v,n
报案,vn,v
报案人,n
报表,n
报偿,vn,v
报酬,n
报酬率,n
报出,v
报春,v
报答,v
报到,v
报道,v,n,vn
报端,n
报恩,v
报废,v,vn
报复,v,vn
报复性,b
报告,n,v,vn
报告会,n
