拨                  	CLAS 	NounUnit|名量,&tool|用具,#cover|遮盖,#sleep|睡
拨                  	V    	PlayWith|揉弄
拨                  	V    	associate|交往,means=turn|扭转,#tool|用具
拨                  	V    	issue|分发
拨                  	V    	turn|扭转
拨出                	V    	issue|分发
拨打                	V    	associate|交往,means=turn|扭转,#tool|用具
访问                	V    	investigate|调查
访问                	V    	visit|看望
访问                	V    	read|读,#internet|因特网
访问                	V    	SelfMove|自移,#internet|因特网
访友                	V    	visit|看望,target=friend|友
搜索                	V    	LookFor|寻
搜寻                	V    	LookFor|寻
揭开                	V    	open|打开
打开                	V    	TurnOn|启动
发动                	V    	TurnOn|启动
开                  	V    	TurnOn|启动
开启                	V    	open|打开
启动                	V    	TurnOn|启动
呼唤                	V    	call|召唤
呼唤                	V    	cry|喊
呼叫                	V    	cry|喊
呼叫                	V    	associate|交往
上                  	V    	GoForward|前进
上                  	V    	GoUp|上去
上                  	V    	LeaveFor|前往
上                  	ADJ  	aValue|属性值,rank|等级,HighRank|高等,desired|良
上                  	ADJ  	aValue|属性值,time|时间,past|昔
上                  	V    	apply|涂抹
上                  	V    	arrive|到达,LocationFin=facilities|设施,purpose=compete|比赛,sport|体育
上                  	V    	climb|攀登
上                  	V    	do|做
上                  	V    	install|安装
上                  	N    	location|位置
上                  	V    	provide|供
上                  	NUM  	qValue|数量值,sequence|次序,ordinal|第
上                  	V    	submit|交
上                  	V    	tighten|勒紧
上                  	V    	undergo|经受,content=disseminate|传播
上                  	STRU 	{Vachieve|达成}
上                  	STRU 	{Vdirection|动趋,upper|上}
上                  	STRU 	{Vstart|发端}
上                  	ADV  	{range}
上                  	STRU 	{scope}
去                  	V    	RegardAs|当作,entertainment|艺
去                  	V    	from|相距
去                  	V    	go|去
去                  	V    	leave|离开
去                  	V    	remove|消除
去                  	V    	send|发送
去                  	STRU 	{Vdirection|动趋}
去除                	V    	remove|消除
查                  	N    	character|文字,surname|姓,human|人,ProperName|专
查                  	V    	check|查
查                  	V    	investigate|调查
查                  	V    	read|读
查案                	V    	investigate|调查
查办                	V    	handle|处理,police|警
查抄                	V    	levy|征收,police|警
查出                	V    	check|查,Vachieve|达成
查出                	V    	investigate|调查,Vachieve|达成
查处                	V    	reveal|揭露
查到                	V    	investigate|调查,Vachieve|达成
检索                	V    	LookFor|寻
检讨                	V    	check|查
检修                	V    	repair|修理
检验                	V    	check|查
检验                	V    	exam|考试
检疫                	V    	check|查,#medical|医
检阅                	V    	check|查
检阅                	V    	check|查,military|军
勘                  	V    	check|查
勘                  	V    	investigate|调查
勘测                	V    	investigate|调查
勘查                	V    	investigate|调查
勘察                	V    	investigate|调查
勘探                	V    	investigate|调查
勘探者              	N    	human|人,*investigate|调查,industrial|工
勘误                	V    	amend|改正
